composer/composer,src/Composer/Installer/ProjectInstaller.php,Jordi Boggiano,4.605
composer/composer,src/Composer/IO/BaseIO.php,Jordi Boggiano,4.66049975504026
composer/composer,src/Composer/IO/BufferIO.php,Jordi Boggiano,4.82449975504026
composer/composer,src/Composer/IO/ConsoleIO.php,Jordi Boggiano,6.11983508768757
composer/composer,src/Composer/IO/IOInterface.php,Jordi Boggiano,4.19387018514891
composer/composer,src/Composer/IO/IOInterface.php,FranÃƒÂ§ois Pluchino,4.34171588544619
composer/composer,src/Composer/IO/NullIO.php,Jordi Boggiano,3.59634545533754
composer/composer,src/Composer/IO/NullIO.php,Christophe Coevoet,3.76636284215324
composer/composer,src/Composer/Json/JsonFile.php,Jordi Boggiano,8.61936235223376
composer/composer,src/Composer/Json/JsonFormatter.php,Jordi Boggiano,3.39849975504026
composer/composer,src/Composer/Json/JsonFormatter.php,Justin Rainbow,3.94599951008052
composer/composer,src/Composer/Json/JsonFormatter.php,Sandy Pleyte,4.20234545533754
composer/composer,src/Composer/Json/JsonManipulator.php,Jordi Boggiano,8.26849975504026
composer/composer,src/Composer/Json/JsonValidationException.php,Jordi Boggiano,4.20234545533754
composer/composer,src/Composer/Package/AliasPackage.php,Jordi Boggiano,6.11187018514891
composer/composer,src/Composer/Package/Archiver/ArchivableFilesFinder.php,Nils Adermann,4.36637043010865
composer/composer,src/Composer/Package/Archiver/ArchiveManager.php,Nils Adermann,3.84119066571533
composer/composer,src/Composer/Package/Archiver/ArchiveManager.php,Matthieu Moquet,4.39770829749078
composer/composer,src/Composer/Package/Archiver/ArchiverInterface.php,Matthieu Moquet,3.37384521037779
composer/composer,src/Composer/Package/Archiver/ArchiverInterface.php,Nils Adermann,3.37384521037779
composer/composer,src/Composer/Package/Archiver/ArchiverInterface.php,till,3.65187018514891
composer/composer,src/Composer/Package/Archiver/BaseExcludeFilter.php,Nils Adermann,3.84969091067507
composer/composer,src/Composer/Package/Archiver/ComposerExcludeFilter.php,Nils Adermann,4.33249975504026
composer/composer,src/Composer/Package/Archiver/GitExcludeFilter.php,Nils Adermann,4.719
composer/composer,src/Composer/Package/Archiver/HgExcludeFilter.php,Nils Adermann,4.33249975504026
composer/composer,src/Composer/Package/Archiver/PharArchiver.php,till,3.50099902016103
composer/composer,src/Composer/Package/Archiver/PharArchiver.php,Matthieu Moquet,3.53787018514891
composer/composer,src/Composer/Package/Archiver/PharArchiver.php,Nils Adermann,3.93749926512077
composer/composer,src/Composer/Package/BasePackage.php,Jordi Boggiano,7.28519066571533
composer/composer,src/Composer/Package/CompletePackageInterface.php,Rafael Dohms,3.457
composer/composer,src/Composer/Package/CompletePackageInterface.php,Jordi Boggiano,4.16849975504026
composer/composer,src/Composer/Package/CompletePackage.php,Jordi Boggiano,4.27399951008052
composer/composer,src/Composer/Package/Dumper/ArrayDumper.php,Jordi Boggiano,4.80783508768757
composer/composer,src/Composer/Package/LinkConstraint/EmptyConstraint.php,Jordi Boggiano,4.391
composer/composer,src/Composer/Package/LinkConstraint/LinkConstraintInterface.php,Nils Adermann,4.36634545533754
composer/composer,src/Composer/Package/LinkConstraint/MultiConstraint.php,Jordi Boggiano,3.76034545533754
composer/composer,src/Composer/Package/LinkConstraint/MultiConstraint.php,Nils Adermann,3.93036284215324
composer/composer,src/Composer/Package/LinkConstraint/SpecificConstraint.php,Jordi Boggiano,3.43234545533754
composer/composer,src/Composer/Package/LinkConstraint/SpecificConstraint.php,Nils Adermann,4.27399951008052
composer/composer,src/Composer/Package/LinkConstraint/VersionConstraint.php,Jordi Boggiano,3.89969091067507
composer/composer,src/Composer/Package/LinkConstraint/VersionConstraint.php,Nils Adermann,4.41334496541805
composer/composer,src/Composer/Package/Link.php,Nils Adermann,4.20237043010865
composer/composer,src/Composer/Package/Loader/ArrayLoader.php,Jordi Boggiano,10.2198350876876
composer/composer,src/Composer/Package/Loader/InvalidPackageException.php,Jordi Boggiano,4.555
composer/composer,src/Composer/Package/Loader/JsonLoader.php,Jordi Boggiano,3.59634545533754
composer/composer,src/Composer/Package/Loader/JsonLoader.php,everzet,3.97984521037779
composer/composer,src/Composer/Package/Loader/LoaderInterface.php,Jordi Boggiano,4.719
composer/composer,src/Composer/Package/Loader/RootPackageLoader.php,Jordi Boggiano,10.388999020161
composer/composer,src/Composer/Package/Loader/ValidatingArrayLoader.php,Jordi Boggiano,6.71836284215324
composer/composer,src/Composer/Package/Locker.php,Jordi Boggiano,12.5331906657153
composer/composer,src/Composer/Package/PackageInterface.php,Jordi Boggiano,7.43183508768757
composer/composer,src/Composer/Package/Package.php,Jordi Boggiano,8.05570829749078
composer/composer,src/Composer/Package/RootAliasPackage.php,Jordi Boggiano,4.555
composer/composer,src/Composer/Package/RootPackageInterface.php,Jordi Boggiano,4.53034545533754
composer/composer,src/Composer/Package/RootPackage.php,Jordi Boggiano,4.49649975504026
