moment/moment,test/locale/mr.js,Harshad Kale,4.05965125625485
moment/moment,test/locale/ms-my.js,Iskren Chernev,4.06371588544619
moment/moment,test/locale/ms-my.js,Weldan Jamili,4.97699902016103
moment/moment,test/locale/my.js,Iskren Chernev,3.43234545533754
moment/moment,test/locale/my.js,David Rossellat,3.81584521037779
moment/moment,test/locale/nb.js,Iskren Chernev,4.04299902016103
moment/moment,test/locale/nb.js,Tim Wood,4.05477537247198
moment/moment,test/locale/ne.js,Suvash Thapaliya,3.42936994018917
moment/moment,test/locale/ne.js,Iskren Chernev,4.19387018514891
moment/moment,test/locale/nl.js,Iskren Chernev,4.04299902016103
moment/moment,test/locale/nl.js,Tim Wood,4.05477537247198
moment/moment,test/locale/nn.js,Iskren Chernev,3.80734496541805
moment/moment,test/locale/nn.js,mechuwind,4.5278625971935
moment/moment,test/locale/pl.js,Tim Wood,4.04050635668674
moment/moment,test/locale/pl.js,Iskren Chernev,4.20699902016103
moment/moment,test/locale/pt-br.js,Caio Ribeiro Pereira,3.35774086021731
moment/moment,test/locale/pt-br.js,Iskren Chernev,4.2498625971935
moment/moment,test/locale/pt.js,Iskren Chernev,3.98783508768757
moment/moment,test/locale/pt.js,Tim Wood,4.54677537247198
moment/moment,test/locale/ro.js,Valentin Agachi,3.3451510112951
moment/moment,test/locale/ro.js,Andrei Damian-Fekete,3.49583508768757
moment/moment,test/locale/ro.js,Iskren Chernev,3.85953851655795
moment/moment,test/locale/ru.js,Iskren Chernev,3.78269042075559
moment/moment,test/locale/ru.js,Tim Wood,3.84720805253104
moment/moment,test/locale/sk.js,Martin Minka,3.5438625971935
moment/moment,test/locale/sk.js,Iskren Chernev,4.0298452103778
moment/moment,test/locale/sl.js,Robert Sedovsek,3.42936994018917
moment/moment,test/locale/sl.js,Iskren Chernev,4.39169091067507
moment/moment,test/locale/sq.js,Menelion ElensÃƒÂºle (Andre Polykanine),3.50099902016103
moment/moment,test/locale/sq.js,Iskren Chernev,3.93749926512077
moment/moment,test/locale/sr-cyrl.js,Iskren Chernev,5.09399951008051
moment/moment,test/locale/sr.js,Limon Monte,3.62127561743172
moment/moment,test/locale/sr.js,Iskren Chernev,3.99599951008052
moment/moment,test/locale/sv.js,Iskren Chernev,4.04299902016103
moment/moment,test/locale/sv.js,Tim Wood,4.41336994018917
moment/moment,test/locale/ta.js,Arjunkumar Krishnamoorthy,3.62127561743172
moment/moment,test/locale/ta.js,Iskren Chernev,3.99599951008052
moment/moment,test/locale/th.js,Kridsada Thanabulpong,3.64553851655795
moment/moment,test/locale/th.js,Iskren Chernev,4.26549926512077
moment/moment,test/locale/tl-ph.js,Daniel Hagman,3.59334496541805
moment/moment,test/locale/tl-ph.js,Iskren Chernev,3.70184521037779
moment/moment,test/locale/tr.js,Iskren Chernev,3.89971588544619
moment/moment,test/locale/tr.js,Tim Wood,4.08536994018917
moment/moment,test/locale/tzm.js,Abdel Said,3.62719066571533
moment/moment,test/locale/tzm.js,Iskren Chernev,4.02987018514891
moment/moment,test/locale/tzm-latn.js,Abdel Said,3.60983508768757
moment/moment,test/locale/tzm-latn.js,Iskren Chernev,4.19387018514891
moment/moment,test/locale/uk.js,Anton VeÃŒï¿½rinov,3.53484472045831
moment/moment,test/locale/uk.js,Menelion ElensÃƒÂºle (Andre Polykanine),3.69553851655796
moment/moment,test/locale/uk.js,Iskren Chernev,3.87899902016103
moment/moment,test/locale/uz.js,muminoff,3.59334496541805
moment/moment,test/locale/uz.js,Iskren Chernev,3.70184521037779
moment/moment,test/locale/vi.js,bangnk,3.56765125625485
moment/moment,test/locale/vi.js,Iskren Chernev,3.65236284215324
moment/moment,test/locale/zh-cn.js,Iskren Chernev,4.24084472045831
moment/moment,test/locale/zh-cn.js,Tim Wood,4.28321564048645
moment/moment,test/locale/zh-tw.js,ben,3.29921564048645
moment/moment,test/locale/zh-tw.js,Iskren Chernev,4.33319066571533
moment/moment,test/moment/add_subtract.js,Tim Wood,4.47187018514891
moment/moment,test/moment/create.js,Iskren Chernev,8.94649646663264
moment/moment,test/moment/create.js,Tim Wood,9.0367078075713
moment/moment,test/moment/days_in_month.js,Iskren Chernev,3.33999951008052
moment/moment,test/moment/days_in_month.js,Tim Wood,4.20237043010865
moment/moment,test/moment/diff.js,Iskren Chernev,4.69899902016103
moment/moment,test/moment/diff.js,Tim Wood,5.24983508768757
moment/moment,test/moment/duration_from_moments.js,Iskren Chernev,4.719
moment/moment,test/moment/duration.js,John Madhavan-Reese,3.376006111727
moment/moment,test/moment/duration.js,Nicholas Bollweg,3.54706134078373
moment/moment,test/moment/duration.js,Rocky Meza,3.79124061525757
moment/moment,test/moment/duration.js,Iskren Chernev,4.40486969522943
moment/moment,test/moment/format.js,Iskren Chernev,5.71686969522943
moment/moment,test/moment/format.js,Tim Wood,5.95706134078373
moment/moment,test/moment/getters_setters.js,Iskren Chernev,3.31534496541805
moment/moment,test/moment/getters_setters.js,Tim Wood,4.0358625971935
moment/moment,test/moment/invalid.js,Isaac Cambron,4.53034545533754
moment/moment,test/moment/is_after.js,Iskren Chernev,3.56249975504026
moment/moment,test/moment/is_after.js,Peter Marsh,3.87437043010865
moment/moment,test/moment/is_before.js,Iskren Chernev,3.56249975504026
moment/moment,test/moment/is_before.js,Peter Marsh,3.87437043010865
moment/moment,test/moment/is_between.js,Christoph Hermann,4.391
moment/moment,test/moment/is_date.js,Iskren Chernev,4.391
moment/moment,test/moment/is_moment.js,hokaccha,3.62127561743172
moment/moment,test/moment/is_moment.js,Iskren Chernev,4.25234545533754
moment/moment,test/moment/is_same.js,Iskren Chernev,5.18634545533754
moment/moment,test/moment/is_valid.js,Iskren Chernev,4.09050635668674
moment/moment,test/moment/is_valid.js,Tim Wood,5.01084472045831
moment/moment,test/moment/leapyear.js,Iskren Chernev,3.56249975504026
moment/moment,test/moment/leapyear.js,Tim Wood,3.87437043010865
moment/moment,test/moment/listers.js,Isaac Cambron,4.85834545533754
moment/moment,test/moment/locale.js,Iskren Chernev,4.16921564048645
moment/moment,test/moment/locale.js,Isaac Cambron,4.16921564048645
moment/moment,test/moment/locale.js,Tim Wood,5.09269010736027
moment/moment,test/moment/min_max.js,Iskren Chernev,3.83199951008052
moment/moment,test/moment/min_max.js,Tim Wood,3.84969091067507
moment/moment,test/moment/mutable.js,Iskren Chernev,3.50399951008052
moment/moment,test/moment/mutable.js,Matt Garrett,3.72349926512077
moment/moment,test/moment/normalizeUnits.js,Xotic750,3.87437043010865
moment/moment,test/moment/parsing_flags.js,Iskren Chernev,3.59634545533754
moment/moment,test/moment/parsing_flags.js,Isaac Cambron,4.20237043010865
moment/moment,test/moment/preparse_postformat.js,Iskren Chernev,3.44549926512077
moment/moment,test/moment/preparse_postformat.js,Tim Wood,3.75734496541805
moment/moment,test/moment/quarter.js,Iskren Chernev,3.56249975504026
